entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
BUS030,Business decision segment 30,Strategic,106.11,47.3,82.2,995473
BUS019,Business decision segment 19,Growth,90.13,46.6,80.4,769518
BUS022,Business decision segment 22,Strategic,89.08,48.3,79.0,733443
BUS036,Business decision segment 36,Core,88.75,52.8,81.7,701899
BUS028,Business decision segment 28,Growth,88.46,49.1,81.0,727370
BUS021,Business decision segment 21,Watch,88.13,55.5,81.8,670208
BUS007,Business decision segment 7,Growth,87.87,53.0,80.4,682492
BUS001,Business decision segment 1,Watch,83.77,52.4,80.6,631303
BUS020,Business decision segment 20,Strategic,82.83,52.8,80.4,613648
BUS023,Business decision segment 23,Growth,82.11,50.7,79.2,616660
BUS034,Business decision segment 34,Strategic,81.96,50.3,79.6,619757
BUS012,Business decision segment 12,Strategic,81.67,53.7,80.9,591341
BUS008,Business decision segment 8,Watch,81.08,51.5,79.7,597377
BUS013,Business decision segment 13,Core,80.74,49.6,78.9,605569
BUS002,Business decision segment 2,Growth,78.68,50.5,81.0,577595
BUS005,Business decision segment 5,Strategic,78.38,53.3,81.1,550258
BUS018,Business decision segment 18,Watch,78.29,49.9,79.4,570916
BUS024,Business decision segment 24,Core,77.57,48.0,79.5,577697
BUS032,Business decision segment 32,Strategic,76.81,53.5,81.3,527572
BUS006,Business decision segment 6,Strategic,76.66,54.8,79.5,505791
BUS026,Business decision segment 26,Watch,76.42,52.5,80.2,525629
BUS033,Business decision segment 33,Core,76.05,49.0,79.9,549689
BUS027,Business decision segment 27,Watch,74.82,54.5,78.9,479903
BUS010,Business decision segment 10,Growth,74.77,53.1,79.1,492501
BUS017,Business decision segment 17,Strategic,72.31,52.9,79.7,462222
