action_id,role_id,action_type,owner,effort_hours,expected_shortlist_days,expected_margin_protected,status
ACT001,REQ018,Data clean-up,Analytics,4,18,810.0,Ready for review
ACT002,REQ006,Data clean-up,Analytics,4,16.5,840.0,Ready for review
ACT003,REQ032,Data clean-up,Analytics,4,18,232.0,Ready for review
ACT004,REQ001,Data clean-up,Analytics,4,14.1,552.0,Ready for review
ACT005,REQ009,Data clean-up,Analytics,4,16.1,660.0,Ready for review
ACT006,REQ021,Data clean-up,Analytics,4,16.2,252.0,Ready for review
ACT007,REQ038,Executive review,Enterprise desk,2,15.4,986.0,Ready for review
ACT008,REQ042,Data clean-up,Analytics,4,15.8,340.0,Ready for review
ACT009,REQ003,Data clean-up,Analytics,4,16.8,290.0,Queued
ACT010,REQ007,Data clean-up,Analytics,4,13.9,1520.0,Queued
ACT011,REQ005,Data clean-up,Analytics,4,16.0,297.0,Queued
ACT012,REQ037,Data clean-up,Analytics,4,13.7,888.0,Queued
ACT013,REQ041,Data clean-up,Analytics,4,15.0,493.0,Queued
ACT014,REQ023,Data clean-up,Analytics,4,12.3,1104.0,Queued
ACT015,REQ034,Data clean-up,Analytics,4,15.3,420.0,Queued
ACT016,REQ008,Data clean-up,Analytics,4,11.9,451.0,Queued
ACT017,REQ012,Data clean-up,Analytics,4,14.5,700.0,Queued
ACT018,REQ004,Data clean-up,Analytics,4,10.9,1428.0,Queued
ACT019,REQ019,Data clean-up,Analytics,4,11.3,700.0,Queued
ACT020,REQ017,Data clean-up,Analytics,4,14.0,240.0,Queued
ACT021,REQ024,Client calibration,Account lead,3,13.1,325.0,Queued
ACT022,REQ026,Data clean-up,Analytics,4,16.0,294.0,Queued
ACT023,REQ002,Data clean-up,Analytics,4,11.0,1008.0,Queued
ACT024,REQ016,Data clean-up,Analytics,4,13.6,286.0,Queued
