check_id,role_id,check_name,records_tested,issue_count,severity,owner
missing_pay_rate,REQ001,Missing pay or bill rate,28,2,Watch,North desk
stale_status,REQ001,Open status not refreshed,28,1,Pass,North desk
duplicate_candidate,REQ001,Duplicate candidate identifier,28,1,Pass,North desk
location_mismatch,REQ001,Location or work structure mismatch,28,4,Watch,North desk
skill_taxonomy_gap,REQ001,Skill taxonomy not standardized,28,4,Watch,North desk
stage_backfill,REQ001,Late stage history backfill,28,4,Watch,North desk
missing_pay_rate,REQ002,Missing pay or bill rate,47,1,Pass,North desk
stale_status,REQ002,Open status not refreshed,47,0,Pass,North desk
duplicate_candidate,REQ002,Duplicate candidate identifier,47,3,Watch,North desk
location_mismatch,REQ002,Location or work structure mismatch,47,3,Watch,North desk
skill_taxonomy_gap,REQ002,Skill taxonomy not standardized,47,3,Watch,North desk
stage_backfill,REQ002,Late stage history backfill,47,4,Watch,North desk
missing_pay_rate,REQ003,Missing pay or bill rate,42,1,Pass,Enterprise desk
stale_status,REQ003,Open status not refreshed,42,0,Pass,Enterprise desk
duplicate_candidate,REQ003,Duplicate candidate identifier,42,0,Pass,Enterprise desk
location_mismatch,REQ003,Location or work structure mismatch,42,4,Watch,Enterprise desk
skill_taxonomy_gap,REQ003,Skill taxonomy not standardized,42,5,Fail,Enterprise desk
stage_backfill,REQ003,Late stage history backfill,42,4,Watch,Enterprise desk
missing_pay_rate,REQ004,Missing pay or bill rate,32,4,Watch,Enterprise desk
stale_status,REQ004,Open status not refreshed,32,0,Pass,Enterprise desk
duplicate_candidate,REQ004,Duplicate candidate identifier,32,2,Watch,Enterprise desk
location_mismatch,REQ004,Location or work structure mismatch,32,4,Watch,Enterprise desk
skill_taxonomy_gap,REQ004,Skill taxonomy not standardized,32,2,Watch,Enterprise desk
stage_backfill,REQ004,Late stage history backfill,32,2,Watch,Enterprise desk
missing_pay_rate,REQ005,Missing pay or bill rate,50,8,Fail,Specialty desk
stale_status,REQ005,Open status not refreshed,50,0,Pass,Specialty desk
duplicate_candidate,REQ005,Duplicate candidate identifier,50,3,Watch,Specialty desk
location_mismatch,REQ005,Location or work structure mismatch,50,5,Fail,Specialty desk
skill_taxonomy_gap,REQ005,Skill taxonomy not standardized,50,8,Fail,Specialty desk
stage_backfill,REQ005,Late stage history backfill,50,2,Watch,Specialty desk
missing_pay_rate,REQ006,Missing pay or bill rate,31,4,Watch,Central desk
stale_status,REQ006,Open status not refreshed,31,0,Pass,Central desk
duplicate_candidate,REQ006,Duplicate candidate identifier,31,3,Watch,Central desk
location_mismatch,REQ006,Location or work structure mismatch,31,3,Watch,Central desk
skill_taxonomy_gap,REQ006,Skill taxonomy not standardized,31,4,Watch,Central desk
stage_backfill,REQ006,Late stage history backfill,31,1,Pass,Central desk
missing_pay_rate,REQ007,Missing pay or bill rate,37,8,Fail,Enterprise desk
stale_status,REQ007,Open status not refreshed,37,0,Pass,Enterprise desk
duplicate_candidate,REQ007,Duplicate candidate identifier,37,2,Watch,Enterprise desk
location_mismatch,REQ007,Location or work structure mismatch,37,2,Watch,Enterprise desk
skill_taxonomy_gap,REQ007,Skill taxonomy not standardized,37,0,Pass,Enterprise desk
stage_backfill,REQ007,Late stage history backfill,37,4,Watch,Enterprise desk
missing_pay_rate,REQ008,Missing pay or bill rate,27,2,Watch,Specialty desk
stale_status,REQ008,Open status not refreshed,27,0,Pass,Specialty desk
duplicate_candidate,REQ008,Duplicate candidate identifier,27,2,Watch,Specialty desk
location_mismatch,REQ008,Location or work structure mismatch,27,2,Watch,Specialty desk
skill_taxonomy_gap,REQ008,Skill taxonomy not standardized,27,2,Watch,Specialty desk
stage_backfill,REQ008,Late stage history backfill,27,2,Watch,Specialty desk
missing_pay_rate,REQ009,Missing pay or bill rate,49,5,Fail,Central desk
stale_status,REQ009,Open status not refreshed,49,1,Pass,Central desk
duplicate_candidate,REQ009,Duplicate candidate identifier,49,5,Fail,Central desk
location_mismatch,REQ009,Location or work structure mismatch,49,1,Pass,Central desk
skill_taxonomy_gap,REQ009,Skill taxonomy not standardized,49,7,Fail,Central desk
stage_backfill,REQ009,Late stage history backfill,49,2,Watch,Central desk
missing_pay_rate,REQ010,Missing pay or bill rate,34,4,Watch,Specialty desk
stale_status,REQ010,Open status not refreshed,34,0,Pass,Specialty desk
duplicate_candidate,REQ010,Duplicate candidate identifier,34,1,Pass,Specialty desk
location_mismatch,REQ010,Location or work structure mismatch,34,2,Watch,Specialty desk
skill_taxonomy_gap,REQ010,Skill taxonomy not standardized,34,4,Watch,Specialty desk
stage_backfill,REQ010,Late stage history backfill,34,3,Watch,Specialty desk
missing_pay_rate,REQ011,Missing pay or bill rate,32,4,Watch,Specialty desk
stale_status,REQ011,Open status not refreshed,32,0,Pass,Specialty desk
duplicate_candidate,REQ011,Duplicate candidate identifier,32,0,Pass,Specialty desk
location_mismatch,REQ011,Location or work structure mismatch,32,0,Pass,Specialty desk
skill_taxonomy_gap,REQ011,Skill taxonomy not standardized,32,1,Pass,Specialty desk
stage_backfill,REQ011,Late stage history backfill,32,0,Pass,Specialty desk
missing_pay_rate,REQ012,Missing pay or bill rate,48,2,Watch,Central desk
stale_status,REQ012,Open status not refreshed,48,1,Pass,Central desk
duplicate_candidate,REQ012,Duplicate candidate identifier,48,5,Fail,Central desk
location_mismatch,REQ012,Location or work structure mismatch,48,3,Watch,Central desk
skill_taxonomy_gap,REQ012,Skill taxonomy not standardized,48,1,Pass,Central desk
stage_backfill,REQ012,Late stage history backfill,48,3,Watch,Central desk
missing_pay_rate,REQ013,Missing pay or bill rate,31,3,Watch,North desk
stale_status,REQ013,Open status not refreshed,31,0,Pass,North desk
duplicate_candidate,REQ013,Duplicate candidate identifier,31,1,Pass,North desk
